       N,   max psi r,   x max psi,   max psi s,  psi=0 time,    # sweeps,  psi prev t,      sweeps,      t best,      sweeps
       8	     1.40625,       0.125,      0.9375,           0,         100,           0         102,           0,         100
      16	     1.17187,       0.125,      0.9375,           0,         131,           0         125,           0,           1
      32	     1.05957,    0.109375,    0.957031,           0,         206,           0         190,           0,           1
      64	      1.0083,    0.109375,    0.957031,           0,         351,           0         314,           0,           1
     128	    0.982666,    0.109375,    0.957031,           0,         628,           0         543,           0,           1
     256	    0.969849,    0.109375,    0.957031,        0.01,        1157,           0         966,           0,           1
     512	     0.96344,    0.109375,    0.957031,        0.03,        2177,        0.02        1747,           0,           1
    1024	    0.960236,    0.109375,    0.957031,        0.09,        4147,        0.03        3198,           0,           1
    2048	    0.958633,    0.109375,    0.957031,        0.31,        7952,        0.12        5848,           0,           1
    4096	    0.957832,    0.109375,    0.957031,        1.18,       15405,        0.41       10696,           0,           1
    8192	    0.957432,    0.109375,    0.957031,        4.54,       29819,        1.61       19484,           0,           1
   16384	    0.957232,    0.109375,    0.957031,       17.09,       57538,        5.49       34631,           0,           1
   32768	    0.957131,    0.109375,    0.957031,       66.11,      110480,       18.92       62612,           0,           1
   65536	    0.957081,    0.109375,    0.957031,      268.95,      223322,        71.1      116391,           0,           1
  131072	    0.957056,    0.109375,    0.957031,      1060.9,      433475,      261.06      206471,           0,           1

