     N	   max psi	 x max psi	 y max psi	   psi=0 t	    sweeps	psi interp t	    sweeps
     8	  0.663874	     0.125	     0.125	       0.3	        96	      0.13	        95
    16	  0.769485	    0.1875	    0.1875	      0.11	       130	      0.37	       106
    32	  0.791207	   0.15625	   0.15625	      0.61	       209	      0.25	       155
    64	  0.798699	  0.171875	  0.171875	      0.19	       368	       0.5	       244
   128	  0.799911	  0.164062	  0.164062	      0.92	       677	      0.29	       425
   256	  0.800515	  0.167969	  0.167969	      4.03	      1285	      2.34	       803
   512	  0.800558	  0.167969	  0.167969	     26.32	      2487	     24.18	      1551
  1024	  0.800594	  0.166992	  0.166992	    346.76	      4879	    223.97	      2908 1:30



