     N	   max psi	 x max psi	 y max psi	   psi=0 t	    sweeps	psi interp t	    sweeps
     8	  0.663874	     0.125	     0.125	         0	        93	         0	        93
    16	  0.769485	    0.1875	    0.1875	         0	       120	         0	        94
    32	  0.791207	   0.15625	   0.15625	         0	       188	         0	       139
    64	  0.798699	  0.171875	  0.171875	      0.02	       320	      0.02	       217
   128	  0.799911	  0.164062	  0.164062	      0.17	       582	      0.09	       381
   256	  0.800515	  0.167969	  0.167969	      1.04	      1174	      0.72	       685
   512	  0.800558	  0.167969	  0.167969	      8.21	      2361	      6.04	      1310
  1024	  0.800594	  0.166992	  0.166992	     63.18	      4735	     43.55	      2541
  2048	  0.800597	  0.166992	  0.166992	    486.83	      9484	    318.44	      4751

