         N	        SN	        TN	        UN
         8	         0	         0	         0
        16	         0	         0	         0
        32	         0	         0	         0
        64	         0	         0	         0
       128	         0	         0	         0
       256	         0	         0	         0
       512	         0	         0	         0
      1024	         0	         0	         0
      2048	         0	         0	         0
      4096	         0	         0	         0
      8192	         0	         0	         0
     16384	         0	      0.01	         0
     32768	         0	      0.01	      0.01
     65536	      0.01	      0.01	      0.01
    131072	      0.03	      0.03	      0.03
    262144	      0.12	      0.11	      0.12
    524288	      0.32	      0.32	      0.32
   1048576	      0.71	       0.7	      0.68
   2097152	      1.67	      1.67	      1.71
   4194304	      3.34	      3.29	       3.3
   8388608	      7.33	       7.4	      7.43
  16777216	     18.23	      18.3	     18.41
  33554432	     42.35	     42.43	     42.57
  67108864	    102.83	    102.47	    102.37
 134217728	    286.91	    287.93	    288.66
 268435456	    703.62	    707.73	    616.53
