         N	        SN	        TN	        UN
         8	         0	         0	         0
        16	         0	         0	         0
        32	         0	         0	         0
        64	         0	         0	         0
       128	         0	         0	         0
       256	         0	         0	         0
       512	         0	      0.01	         0
      1024	         0	         0	         0
      2048	         0	         0	         0
      4096	         0	         0	         0
      8192	         0	         0	         0
     16384	         0	         0	      0.01
     32768	         0	      0.01	         0
     65536	      0.01	      0.01	      0.01
    131072	      0.03	      0.03	      0.03
    262144	      0.11	      0.11	      0.11
    524288	      0.27	      0.27	      0.27
   1048576	       0.6	      0.61	      0.61
   2097152	      1.44	      1.45	      1.46
   4194304	      3.35	      3.39	      3.41
   8388608	       7.5	      7.53	      7.56
  16777216	     17.85	      17.9	     18.01
  33554432	        40	     40.19	     40.41
  67108864	    101.74	    102.06	    102.42
 134217728	    291.57	    291.78	    292.28
 268435456	    702.99	     703.7	    705.23
