         N	   Psi Max	     X Max	      Time
         8	0.91233116	      0.25	         0
        16	0.93102862	      0.25	         0
        32	0.95365372	   0.21875	         0
        64	0.95622499	   0.21875	         0
       128	0.95682813	   0.21875	         0
       256	 0.9569804	   0.21875	         0
       512	0.95701853	   0.21875	         0
      1024	0.95702807	   0.21875	         0
      2048	0.95703046	   0.21875	         0
      4096	0.95703105	   0.21875	         0
      8192	 0.9570312	   0.21875	         0
     16384	0.95703124	   0.21875	         0
     32768	0.95703125	   0.21875	      0.02
     65536	0.95703125	   0.21875	      0.03
    131072	0.95703125	   0.21875	      0.06
    262144	0.95703125	   0.21875	       0.2
    524288	0.95703125	   0.21875	      0.47
   1048576	0.95703125	   0.21875	      1.15
   2097152	0.95703125	   0.21875	      2.56
   4194304	0.95703125	   0.21875	       6.2
   8388608	0.95703125	   0.21875	     13.96
  16777216	0.95703125	   0.21875	        32
  33554432	0.95703125	   0.21875	     73.07
  67108864	0.95703125	   0.21875	    182.72
 134217728	0.95703125	   0.21875	    499.49
 268435456	0.95703125	   0.21875	   1350.76
