         N	   Psi Max	     X Max	      Time
         8	0.91233116	      0.25	         0
        16	0.93102862	      0.25	         0
        32	0.95365372	   0.21875	         0
        64	0.95622499	   0.21875	         0
       128	0.95682813	   0.21875	         0
       256	 0.9569804	   0.21875	         0
       512	0.95701853	   0.21875	         0
      1024	0.95702807	   0.21875	         0
      2048	0.95703046	   0.21875	         0
      4096	0.95703105	   0.21875	         0
      8192	 0.9570312	   0.21875	         0
     16384	0.95703124	   0.21875	      0.01
     32768	0.95703125	   0.21875	      0.01
     65536	0.95703125	   0.21875	      0.02
    131072	0.95703125	   0.21875	      0.05
    262144	0.95703125	   0.21875	       0.2
    524288	0.95703125	   0.21875	      0.51
   1048576	0.95703125	   0.21875	      1.15
   2097152	0.95703125	   0.21875	      2.48
   4194304	0.95703125	   0.21875	       5.5
   8388608	0.95703125	   0.21875	     13.54
  16777216	0.95703125	   0.21875	     34.34
  33554432	0.95703125	   0.21875	     78.75
  67108864	0.95703125	   0.21875	    194.82
 134217728	0.95703125	   0.21875	    543.43
 268435456	0.95703125	   0.21875	   1223.36
